ward_code,dLab,dGrn,dRef,lab_base,lab_2026,grn_base,grn_2026,ref_base,ref_2026
E05013540,-7.06,7.83,8.41,22.61,15.55,6.07,13.91,0.0,8.41
E05013961,-7.0,-0.08,20.55,10.29,3.3,6.47,6.39,0.0,20.55
E05013982,-6.85,6.29,40.06,13.05,6.2,2.36,8.66,0.0,40.06
E05009390,-6.83,-5.32,8.47,20.17,13.34,5.32,0.0,0.0,8.47
E05013770,-6.78,7.41,23.04,12.93,6.15,3.63,11.04,0.0,23.04
E05009389,-6.73,0.0,13.02,17.35,10.62,0.0,0.0,0.0,13.02
E05009363,-6.67,4.17,20.19,7.52,0.85,0.0,4.17,0.0,20.19
E05013931,-6.63,0.0,28.76,11.75,5.12,0.0,0.0,0.0,28.76
E05013933,-6.57,4.26,3.87,12.7,6.14,6.39,10.65,0.0,3.87
E05013610,-6.54,1.24,10.39,29.64,23.1,12.23,13.47,0.0,10.39
E05011481,-6.46,5.39,22.94,17.52,11.05,16.91,22.3,0.0,22.94
E05011482,-6.4,7.01,23.28,27.53,21.13,9.69,16.7,0.0,23.28
E05013498,-6.39,18.25,7.48,55.27,48.87,8.51,26.76,0.0,7.48
E05013744,-6.39,-0.42,11.32,27.83,21.44,6.03,5.61,0.0,11.32
E05013639,-6.36,9.53,12.11,26.35,19.99,3.04,12.57,0.0,12.11
E05013611,-6.33,3.51,8.37,34.74,28.4,15.72,19.23,0.0,8.37
E05013996,-6.26,0.45,37.38,9.97,3.71,5.48,5.92,0.0,37.38
E05011484,-6.24,9.54,10.72,29.89,23.65,13.64,23.18,0.0,10.72
E05013788,-6.23,13.66,9.61,10.79,4.57,0.0,13.66,0.0,9.61
E05009318,-6.01,2.9,13.37,25.64,19.62,10.1,13.0,0.0,13.37
E05013661,-5.96,1.71,2.81,46.03,40.08,38.31,40.03,0.0,2.81
E05011294,-5.95,6.89,9.92,11.03,5.08,8.99,15.88,0.0,9.92
E05013798,-5.9,10.34,9.99,43.35,37.45,4.18,14.53,0.0,9.99
E05013928,-5.73,0.87,12.49,10.34,4.62,10.21,11.08,0.0,12.49
E05013944,-5.66,5.26,11.69,10.96,5.3,10.11,15.37,0.0,11.69
E05014011,-5.66,7.43,7.59,39.19,33.53,7.74,15.18,0.0,7.59
E05013970,-5.56,5.9,34.63,12.24,6.68,0.0,5.9,0.0,34.63
E05013711,-5.49,13.85,5.49,49.22,43.73,14.01,27.87,0.0,5.49
E05009398,-5.43,-13.32,6.9,20.61,15.18,20.38,7.07,0.0,6.9
E05013942,-5.33,4.99,13.44,10.98,5.65,3.79,8.78,0.0,13.44
E05013977,-5.19,8.04,43.41,12.92,7.73,0.0,8.04,0.0,43.41
E05014027,-5.1,4.99,7.13,32.79,27.69,11.69,16.68,0.0,7.13
E05011282,-5.1,3.39,21.23,7.78,2.68,6.93,10.31,0.0,21.23
E05013943,-5.09,-2.36,9.87,10.15,5.06,28.29,25.93,0.0,9.87
E05013823,-5.09,6.8,10.03,18.26,13.17,3.6,10.4,0.0,10.03
E05013785,-5.06,15.7,8.74,10.26,5.2,0.0,15.7,0.0,8.74
E05013757,-5.02,3.19,16.9,8.4,3.37,3.63,6.82,0.0,16.9
E05009323,-4.89,14.19,12.01,26.86,21.97,0.0,14.19,0.0,12.01
E05013825,-4.79,-0.6,8.58,12.58,7.79,3.88,3.28,0.0,8.58
E05011487,-4.78,9.68,14.22,39.84,35.06,12.63,22.31,0.0,14.22
E05013968,-4.75,4.54,33.29,9.44,4.69,2.5,7.03,0.0,33.29
E05013937,-4.73,6.19,8.79,10.62,5.89,12.63,18.81,0.0,8.79
E05013929,-4.72,3.98,11.26,10.31,5.59,9.03,13.01,0.0,11.26
E05014170,-4.69,16.45,21.16,8.33,3.64,0.0,16.45,0.0,21.16
E05013746,-4.68,3.51,7.38,57.12,52.44,6.73,10.24,0.0,7.38
E05013946,-4.65,7.63,10.42,7.91,3.26,6.95,14.58,0.0,10.42
E05013827,-4.62,6.05,11.66,20.33,15.71,4.26,10.31,0.0,11.66
E05014031,-4.58,8.38,16.59,7.78,3.2,4.94,13.31,0.0,16.59
E05013986,-4.58,3.08,31.63,9.67,5.1,2.84,5.92,0.0,31.63
E05013972,-4.34,5.88,39.71,9.51,5.17,0.0,5.88,0.0,39.71
E05013934,-4.33,0.0,7.3,10.81,6.48,0.0,0.0,0.0,7.3
E05013989,-4.3,6.67,47.35,8.86,4.56,0.0,6.67,0.0,47.35
E05013789,-4.14,16.55,5.97,9.0,4.87,0.0,16.55,0.0,5.97
E05013993,-4.0,0.0,16.74,9.7,5.7,0.0,0.0,0.0,16.74
E05011298,-3.99,5.94,20.35,8.44,4.45,5.4,11.34,0.0,20.35
E05013791,-3.94,13.36,16.7,10.41,6.47,0.0,13.36,0.0,16.7
E05013930,-3.94,1.31,11.83,9.66,5.72,13.25,14.56,0.0,11.83
E05011466,-3.8,7.45,17.03,18.07,14.27,9.5,16.95,0.0,17.03
E05011199,-3.63,-4.66,32.76,6.47,2.84,12.48,7.82,0.0,32.76
E05013786,-3.6,-0.49,10.63,7.79,4.19,16.77,16.28,0.0,10.63
E05006629,-3.48,0.35,18.16,5.12,1.65,4.47,4.82,0.0,18.16
E05013775,-3.35,11.61,6.21,7.06,3.71,0.0,11.61,0.0,6.21
E05013568,-3.33,-32.11,37.76,10.97,7.64,32.11,0.0,0.0,37.76
E05009365,-3.28,9.71,38.34,6.6,3.32,0.0,9.71,0.0,38.34
E05013774,-3.17,9.89,9.09,6.45,3.28,0.0,9.89,0.0,9.09
E05013782,-3.11,15.64,3.33,7.5,4.39,0.0,15.64,0.0,3.33
E05013710,-3.09,13.74,3.98,40.34,37.25,13.19,26.93,0.0,3.98
E05011263,-2.93,-4.09,20.15,7.0,4.07,11.68,7.58,0.0,20.15
E05013574,-2.76,-0.26,11.77,13.85,11.09,7.77,7.51,0.0,11.77
E05011285,-2.39,-12.99,26.82,5.89,3.5,19.4,6.41,0.0,26.82
E05014009,-2.34,3.57,4.33,39.13,36.79,10.93,14.5,0.0,4.33
E05014099,-2.33,5.23,5.37,32.31,29.98,8.37,13.6,0.4,5.78
E05011480,-2.05,6.5,20.87,18.72,16.67,10.33,16.83,0.0,20.87
E05011008,-2.04,0.38,17.58,2.95,0.91,7.86,8.24,0.0,17.58
E05011475,-2.02,9.12,11.35,23.49,21.47,10.58,19.71,0.0,11.35
E05011300,-1.81,2.69,24.67,4.39,2.58,5.98,8.68,0.0,24.67
E05013950,-1.78,-0.35,22.97,4.87,3.09,8.59,8.24,0.0,22.97
E05009330,-1.69,5.37,8.59,33.67,31.97,9.71,15.08,0.0,8.59
E05011476,-1.64,5.87,12.57,15.48,13.85,12.47,18.34,0.0,12.57
E05011474,-0.91,4.83,18.18,6.21,5.3,3.23,8.06,0.0,18.18
E05013880,-0.85,14.73,17.97,7.15,6.3,0.0,14.73,0.0,17.97
E05013704,-0.69,-0.57,2.71,34.12,33.42,46.17,45.6,0.0,2.71
E05011469,-0.56,5.12,16.01,12.4,11.83,10.53,15.65,0.0,16.01
E05009332,-0.39,10.11,3.78,22.6,22.2,3.53,13.63,0.0,3.78
E05011271,0.0,-2.2,20.53,0.0,0.0,9.69,7.49,0.0,20.53
E05011272,0.0,10.87,16.54,0.0,0.0,50.13,61.0,0.0,16.54
E05011275,0.0,11.61,22.73,0.0,0.0,0.0,11.61,0.0,22.73
E05013829,0.4,2.01,7.27,14.15,14.55,4.4,6.41,0.0,7.27
E05014123,0.5,5.11,26.89,9.77,10.27,0.0,5.11,0.0,26.89
E05011296,0.79,7.36,15.56,6.09,6.88,8.62,15.98,0.0,15.56
E05011478,0.92,3.33,13.09,10.85,11.76,8.92,12.25,0.0,13.09
E05009364,1.42,-24.6,22.06,0.0,1.42,54.4,29.8,0.0,22.06
E05011293,1.43,3.38,32.25,0.0,1.43,0.0,3.38,0.0,32.25
E05006647,1.57,-1.89,14.1,0.0,1.57,3.7,1.81,0.0,14.1
E05011273,1.61,-0.47,32.55,0.0,1.61,8.91,8.43,0.0,32.55
E05011306,1.84,0.18,13.06,0.0,1.84,6.99,7.17,0.0,13.06
E05011292,2.28,9.56,22.25,0.0,2.28,0.0,9.56,0.0,22.25
E05006632,2.53,-3.53,23.0,0.0,2.53,11.26,7.73,0.0,23.0
E05014032,2.71,-1.12,22.24,0.0,2.71,11.66,10.55,0.0,22.24
