ons,year,disc_pct
E07000011,2026-27,87.44177902293819
E07000012,2022-23,86.72004593594488
E07000012,2023-24,88.36233727570435
E07000012,2024-25,88.89677338564928
E07000012,2025-26,73.65975696926375
E07000012,2026-27,78.1446580602784
E07000026,2022-23,75.26807926567727
E07000027,2022-23,86.08103061986557
E07000028,2022-23,82.44776752571853
E07000029,2022-23,91.14815684432965
E07000030,2022-23,30.534110603434694
E07000031,2022-23,
E07000032,2022-23,
E07000032,2023-24,82.70060396893874
E07000032,2024-25,84.61421781777733
E07000032,2025-26,85.00263953544176
E07000032,2026-27,82.11905917655885
E07000033,2022-23,90.37781350482315
E07000033,2023-24,91.31530705774519
E07000033,2024-25,90.74048442906575
E07000033,2025-26,89.38107542758705
E07000033,2026-27,89.64420485175202
E07000034,2022-23,95.87866798549291
E07000034,2023-24,
E07000034,2024-25,63.865331888031626
E07000034,2025-26,
E07000034,2026-27,69.79166666666667
E07000035,2022-23,90.39331709014967
E07000035,2023-24,88.52161785216178
E07000035,2024-25,86.84896703884469
E07000035,2025-26,85.68048892685812
E07000035,2026-27,88.43598262202913
E07000036,2022-23,89.21648116753889
E07000036,2023-24,86.48684472132017
E07000036,2024-25,82.56880733944953
E07000036,2025-26,85.26461660287713
E07000036,2026-27,82.68211727712107
E07000037,2022-23,93.78569354370342
E07000037,2023-24,94.41817260597873
E07000037,2024-25,
E07000037,2025-26,89.63056255247692
E07000037,2026-27,87.52938016251427
E07000038,2022-23,93.3022438496891
E07000038,2023-24,92.3051948051948
E07000038,2024-25,89.36740417575568
E07000038,2025-26,62.71058000582921
E07000038,2026-27,63.250556974406344
E07000039,2022-23,92.03868571062576
E07000039,2023-24,90.32515232617733
E07000039,2024-25,91.58400168847615
E07000039,2025-26,90.16262196647486
E07000039,2026-27,90.05949313720897
E07000040,2022-23,89.6168543845535
E07000040,2023-24,88.10416666666667
E07000040,2024-25,88.46728087105349
E07000040,2025-26,87.11475754707058
E07000040,2026-27,86.39006860503103
E07000041,2022-23,71.5918216072642
E07000041,2023-24,64.96137688033609
E07000041,2024-25,68.80814463752853
E07000041,2025-26,67.44452070464425
E07000041,2026-27,60.61884669479606
E07000042,2022-23,88.18360084247222
E07000042,2023-24,90.41718030234217
E07000042,2024-25,87.10187796656807
E07000042,2025-26,87.27808574836854
E07000042,2026-27,85.44786278246664
E07000043,2022-23,87.06518332811031
E07000043,2023-24,82.52650669642857
E07000043,2024-25,82.4778978388998
E07000043,2025-26,84.75568181818181
E07000043,2026-27,81.42349822437853
E07000044,2022-23,85.87157660991858
E07000044,2023-24,87.46243990384616
E07000044,2024-25,88.1743634009495
E07000044,2025-26,88.10029749256269
E07000044,2026-27,87.31533669534262
E07000045,2022-23,83.25765878607588
E07000045,2023-24,83.6994053328218
E07000045,2024-25,84.55131424744684
E07000045,2025-26,81.63581696889975
E07000045,2026-27,81.14360149126352
E07000046,2022-23,96.09218436873748
E07000046,2023-24,85.1833692880957
E07000046,2024-25,88.81278538812785
E07000046,2025-26,88.42523596621957
E07000046,2026-27,90.1649836438629
E07000047,2022-23,82.92313517606966
E07000047,2023-24,85.23856316191724
E07000047,2024-25,85.21538904346157
E07000047,2025-26,86.31702051097517
E07000047,2026-27,87.75786029307156
E07000061,2022-23,85.47815820543093
E07000061,2023-24,106.04324956165985
E07000061,2024-25,31.80521812612232
E07000061,2025-26,74.75513863981239
E07000061,2026-27,64.2548492414058
E07000062,2022-23,51.39664804469274
E07000062,2023-24,53.009471432936145
E07000062,2024-25,46.242440178806206
E07000062,2025-26,49.59538692639434
E07000062,2026-27,53.873355650902916
E07000063,2022-23,79.22446822565729
E07000063,2023-24,82.4467035136202
E07000063,2024-25,34.32496493010206
E07000063,2025-26,82.24874371859296
E07000063,2026-27,79.39110070257611
