rank,name,party,constituency,total_speeches,immigration_speeches,hardline_mentions,pro_mentions,immigration_speech_proportion,stance_balance,immigration_attitude_score,attitude_band
155,Dan Carden,Labour,Liverpool Walton,140,8,67,105,0.05714285714285714,-0.22093023255813954,52.1,Mixed / unclear
156,Carla Lockhart,Democratic Unionist Party,Upper Bann,75,4,45,69,0.05333333333333334,-0.21052631578947367,52.0,Mixed / unclear
157,Anna Turley,Labour and Co-operative,Redcar,139,8,56,89,0.05755395683453238,-0.22758620689655173,52.0,Mixed / unclear
158,Florence Eshalomi,Labour and Co-operative,Vauxhall and Camberwell Green,80,6,33,59,0.075,-0.2826086956521739,51.9,Mixed / unclear
159,Saqib Bhatti,Conservative,Meriden and Solihull East,66,4,40,65,0.06060606060606061,-0.23809523809523808,51.9,Mixed / unclear
160,Rushanara Ali,Labour,Bethnal Green and Stepney,229,27,168,355,0.11790393013100436,-0.3575525812619503,51.4,Mixed / unclear
161,Claire Coutinho,Conservative,East Surrey,56,4,27,49,0.07142857142857142,-0.2894736842105263,51.4,Mixed / unclear
162,Catherine West,Labour,Hornsey and Friern Barnet,413,34,103,195,0.08232445520581114,-0.3087248322147651,51.4,Mixed / unclear
163,Wendy Chamberlain,Liberal Democrat,North East Fife,169,15,58,114,0.08875739644970414,-0.32558139534883723,51.3,Mixed / unclear
164,Ian Byrne,Labour,Liverpool West Derby,40,0,29,19,0.0,0.20833333333333334,51.1,Mixed / unclear
165,Bob Blackman,Conservative,Harrow East,718,26,201,289,0.036211699164345405,-0.17959183673469387,51.0,Mixed / unclear
166,Fleur Anderson,Labour,Putney,101,9,50,101,0.0891089108910891,-0.33774834437086093,50.9,Mixed / unclear
167,Liam Byrne,Labour,Birmingham Hodge Hill and Solihull North,142,9,48,86,0.06338028169014084,-0.2835820895522388,50.9,Mixed / unclear
168,Christian Wakeford,Labour,Bury South,138,5,61,89,0.036231884057971016,-0.18666666666666668,50.8,Mixed / unclear
169,Alex Norris,Labour and Co-operative,Nottingham North and Kimberley,211,8,93,138,0.037914691943127965,-0.19480519480519481,50.8,Mixed / unclear
170,Karin Smyth,Labour,Bristol South,231,19,46,91,0.08225108225108226,-0.3284671532846715,50.7,Mixed / unclear
171,Rebecca Long-Bailey,Labour,Salford,213,6,124,169,0.028169014084507043,-0.15358361774744028,50.7,Mixed / unclear
172,Nick Smith,Labour,Blaenau Gwent and Rhymney,277,1,33,37,0.0036101083032490976,-0.05714285714285714,50.6,Mixed / unclear
173,Kate Osamor,Labour and Co-operative,Edmonton and Winchmore Hill,99,10,55,117,0.10101010101010101,-0.36046511627906974,50.5,Mixed / unclear
174,John Healey,Labour,Rawmarsh and Conisbrough,206,3,149,180,0.014563106796116505,-0.09422492401215805,50.5,Mixed / unclear
175,Karen Bradley,Conservative,Staffordshire Moorlands,755,27,129,189,0.03576158940397351,-0.18867924528301888,50.5,Mixed / unclear
176,Kerry McCarthy,Labour,Bristol East,452,23,161,263,0.05088495575221239,-0.24056603773584906,50.4,Mixed / unclear
177,James Cartlidge,Conservative,South Suffolk,442,21,72,116,0.04751131221719457,-0.23404255319148937,50.4,Mixed / unclear
178,Mary Glindon,Labour,Newcastle upon Tyne East and Wallsend,128,4,14,20,0.03125,-0.17647058823529413,50.3,Mixed / unclear
179,John Whittingdale,Conservative,Maldon,311,17,59,102,0.05466237942122187,-0.2670807453416149,50.3,Mixed / unclear
180,Andrew Rosindell,Conservative,Romford,124,5,28,44,0.04032258064516129,-0.2222222222222222,50.1,Mixed / unclear
181,Siobhain McDonagh,Labour,Mitcham and Morden,178,6,71,105,0.033707865168539325,-0.19318181818181818,50.0,Mixed / unclear
182,Daisy Cooper,Liberal Democrat,St Albans,94,5,44,77,0.05319148936170213,-0.2727272727272727,49.8,Mixed / unclear
183,Danny Kruger,Conservative,East Wiltshire,70,3,37,61,0.04285714285714286,-0.24489795918367346,49.5,Mixed / unclear
184,Alistair Carmichael,Liberal Democrat,Orkney and Shetland,578,65,109,265,0.11245674740484429,-0.41711229946524064,49.2,Mixed / unclear
185,Richard Holden,Conservative,Basildon and Billericay,153,9,47,89,0.058823529411764705,-0.3088235294117647,49.2,Mixed / unclear
186,Kevin Hollinrake,Conservative,Thirsk and Malton,655,23,100,157,0.035114503816793895,-0.22178988326848248,49.2,Mixed / unclear
187,Vicky Foxcroft,Labour,Lewisham North,231,4,55,74,0.017316017316017316,-0.14728682170542637,49.1,Mixed / unclear
188,Sharon Hodgson,Labour,Washington and Gateshead South,156,2,51,66,0.01282051282051282,-0.1282051282051282,49.1,Mixed / unclear
189,Graham Stuart,Conservative,Beverley and Holderness,228,4,26,35,0.017543859649122806,-0.14754098360655737,49.1,Mixed / unclear
190,Kieran Mullan,Conservative,Bexhill and Battle,110,4,33,54,0.03636363636363636,-0.2413793103448276,48.9,Mixed / unclear
191,George Freeman,Conservative,Mid Norfolk,127,6,48,85,0.047244094488188976,-0.2781954887218045,48.8,Mixed / unclear
192,Suella Braverman,Conservative,Fareham and Waterlooville,173,7,44,75,0.04046242774566474,-0.2605042016806723,48.8,Mixed / unclear
193,Nus Ghani,Conservative,Sussex Weald,392,11,86,132,0.02806122448979592,-0.21100917431192662,48.7,Mixed / unclear
194,Matthew Pennycook,Labour,Greenwich and Woolwich,253,13,72,133,0.05138339920948617,-0.2975609756097561,48.6,Mixed / unclear
195,Sarah Olney,Liberal Democrat,Richmond Park,126,7,68,132,0.05555555555555555,-0.32,48.6,Mixed / unclear
196,Andrew Mitchell,Conservative,Sutton Coldfield,281,29,80,195,0.10320284697508897,-0.41818181818181815,48.5,Mixed / unclear
197,Mel Stride,Conservative,Central Devon,752,64,58,135,0.0851063829787234,-0.39896373056994816,48.5,Mixed / unclear
198,Alex Burghart,Conservative,Brentwood and Ongar,153,1,25,32,0.006535947712418301,-0.12280701754385964,48.4,Mixed / unclear
199,Emma Lewell-Buck,Labour,South Shields,224,3,75,102,0.013392857142857142,-0.15254237288135594,48.4,Mixed / unclear
200,Jessica Morden,Labour,Newport East,259,14,52,101,0.05405405405405406,-0.3202614379084967,48.3,Mixed / unclear
201,Helen Grant,Conservative,Maidstone and Malling,43,4,20,49,0.09302325581395349,-0.42028985507246375,48.2,Mixed / unclear
202,Gavin Robinson,Democratic Unionist Party,Belfast East,271,19,69,153,0.07011070110701106,-0.3783783783783784,48.1,Mixed / unclear
203,Mike Wood,Conservative,Kingswinford and South Staffordshire,312,9,82,132,0.028846153846153848,-0.2336448598130841,48.0,Mixed / unclear
204,Munira Wilson,Liberal Democrat,Twickenham,159,6,53,93,0.03773584905660377,-0.273972602739726,47.9,Mixed / unclear
205,Caroline Johnson,Conservative,Sleaford and North Hykeham,234,7,66,108,0.029914529914529916,-0.2413793103448276,47.9,Mixed / unclear
206,Oliver Dowden,Conservative,Hertsmere,492,8,76,109,0.016260162601626018,-0.1783783783783784,47.8,Mixed / unclear
207,Graham Stringer,Labour,Blackley and Middleton South,105,2,10,15,0.01904761904761905,-0.2,47.6,Mixed / unclear
208,Julia Lopez,Conservative,Hornchurch and Upminster,123,2,29,42,0.016260162601626018,-0.18309859154929578,47.6,Mixed / unclear
209,Rebecca Harris,Conservative,Castle Point,21,0,26,21,0.0,0.10638297872340426,47.5,Mixed / unclear
210,Stuart Andrew,Conservative,Daventry,222,14,25,56,0.06306306306306306,-0.38271604938271603,47.4,Mixed / unclear
211,Lilian Greenwood,Labour,Nottingham South,314,6,90,138,0.01910828025477707,-0.21052631578947367,47.3,Mixed / unclear
212,Angela Rayner,Labour,Ashton-under-Lyne,293,5,91,137,0.017064846416382253,-0.20175438596491227,47.1,Mixed / unclear
213,Alison McGovern,Labour,Birkenhead,327,42,65,190,0.12844036697247707,-0.49019607843137253,47.0,Mixed / unclear
