ward_code,ward_name,ward_name_welsh,council,area_sq_km,canvassing_events,events_per_sq_km,has_canvassing_event,rank_by_events_per_sq_km,rank_by_events
W05001069,Waunarlwydd,Waunarlwydd,Swansea,2.9932734887008667,2,0.6681648060391685,True,161,192
W05001691,Coedffranc Central,Canol Coed-ffranc,Neath Port Talbot,1.5190829394302368,1,0.6582919036501526,True,162,289
W05001344,Prestatyn Central,Canol Prestatyn,Denbighshire,1.54129786769104,1,0.6488038561281227,True,163,289
W05001744,Marford and Hoseley,Marford a Hoseley,Wrexham,3.140173583503723,2,0.6369074660415596,True,164,192
W05001346,Prestatyn Meliden,Prestatyn Alltmelyd,Denbighshire,1.5820440807495117,1,0.6320936389624734,True,165,289
W05001574,Broughton South,De Brychdyn,Flintshire,3.1721278468322756,2,0.6304916121199918,True,166,192
W05001417,Kinmel Bay,Bae Cinmel,Conwy,4.777402143737793,3,0.6279563473492372,True,167,126
W05001643,Shaftesbury,Shaftesbury,Newport,1.6376686147003174,1,0.6106241464381934,True,168,289
W05001416,Gogarth Mostyn,Gogarth Mostyn,Conwy,6.5768117924041745,4,0.6081974254789777,True,169,98
W05001135,Hay,Y Gelli,Powys,1.6462755022735596,1,0.6074317443337811,True,170,289
W05001620,Merthyr Vale,Ynysowen,Merthyr Tydfil,8.291823134658813,5,0.6030036963886275,True,171,70
W05001684,Briton Ferry East,Dwyrain Llansawel,Neath Port Talbot,4.979686696361542,3,0.6024475399610943,True,172,126
W05001704,Neath North,Gogledd Castell-nedd,Neath Port Talbot,1.6607532335586548,1,0.6021364160509292,True,173,289
W05001737,Gwersyllt West,Gorllewin Gwersyllt,Wrexham,1.6668746501235963,1,0.599925135297877,True,174,289
W05001463,Milford: East,Dwyrain Aberdaugleddau,Pembrokeshire,5.049577184814453,3,0.5941091481920253,True,175,126
W05001158,Machynlleth,Machynlleth,Powys,5.066595431869507,3,0.592113587978553,True,176,126
W05001503,Tref Cybi,Tref Cybi,Isle of Anglesey,3.417891460044861,2,0.5851560891795403,True,177,192
W05001674,St Martins,Sant Martin,Caerphilly,6.990790478752136,4,0.5721813594839713,True,178,98
W05001055,Morriston,Treforys,Swansea,7.00574988986969,4,0.5709595779010035,True,179,98
W05001628,Alway,Alway,Newport,1.7568075517883301,1,0.5692143109141675,True,180,289
W05001617,Cyfarthfa,Cyfarthfa,Merthyr Tydfil,7.049239876255036,4,0.5674370670054474,True,181,98
W05001448,Haverfordwest: Prendergast,Hwlffordd: Prendergast,Pembrokeshire,1.7649444268264771,1,0.5665900777386439,True,182,289
